id,record_id,document_family,split,tamper_type,final_label,forensic_reg_lap_std_mean,forensic_reg_lap_std_dispersion,forensic_reg_lap_std_cv,forensic_reg_lap_std_max_z,forensic_reg_grad_mag_mean,forensic_reg_grad_mag_dispersion,forensic_reg_grad_mag_cv,forensic_reg_grad_mag_max_z,forensic_reg_edge_density_mean,forensic_reg_edge_density_dispersion,forensic_reg_edge_density_max_z,forensic_reg_entropy_mean,forensic_reg_entropy_dispersion,forensic_reg_qr_vs_body_grad_ratio,forensic_reg_qr_vs_body_lap_ratio,forensic_reg_anomalous_regions_count
family_a_000000_genuine,be7888afac4ee2cc,family_a,train,genuine,0,39.18807498209807,25.211165150972256,0.6433375134939417,1.596714270738116,78.19928318891371,77.30150682284025,0.9885192521637683,1.6838610470944422,0.0445569673382173,0.0379182179869112,1.6244809498743125,1.6729715224849055,1.048296626534993,4.305731190133198,2.167327643150352,3.0
family_a_000001_text_qr_mismatch,be7888afac4ee2cc,family_a,train,text_qr_mismatch,1,61.65563310917661,37.274341857783945,0.6045568577036894,1.6352758062585226,91.47100925278642,75.0535502854425,0.8205172621726984,1.6702912322864116,0.0432358249389499,0.0360710550587772,1.6147585163226217,4.379274264776897,0.6291792233499783,3.3981744708760804,2.237090033508087,3.0
family_a_000002_qr_only_mismatch,be7888afac4ee2cc,family_a,train,qr_only_mismatch,1,62.99333936660693,41.64490257627841,0.661099989046694,1.6342822114085436,80.75194283208151,79.20750406295905,0.9808741619867194,1.6812294335491118,0.0420665636446886,0.0344476567893612,1.605285846173441,0.8419773920724843,0.5686316837209514,4.048143661278869,2.3079303979591455,3.0
family_a_000003_checksum_invalid,be7888afac4ee2cc,family_a,train,checksum_invalid,1,62.61246451964897,41.9131494174443,0.6694057332663185,1.6381174504185398,81.14109804855873,79.71652016581932,0.982443080739212,1.6816567735806356,0.0430427731990232,0.0359114813298258,1.6148781162429136,1.5587870951914609,0.8603431044849497,4.072851425815106,2.327099156955281,3.0
family_a_000004_format_invalid,be7888afac4ee2cc,family_a,train,format_invalid,1,41.89920364845246,25.98035331559192,0.6200678020732138,1.6005300620500722,84.53011522796257,75.07757589189463,0.8881753775878586,1.6750531221053369,0.044819101037851,0.0381655281082344,1.628919632488438,4.045785842967315,0.907639622677009,3.7576849067125617,2.050795172824694,3.0
family_a_000005_field_missing,be7888afac4ee2cc,family_a,train,field_missing,1,56.461087249684674,37.822269197844456,0.6698819371254016,1.6449406919654568,79.22949080370725,79.28775583161847,1.00073526940496,1.6867686346874786,0.0416320398351648,0.0344919185401064,1.6115075733352693,1.2363778879748064,0.7285033697687041,4.4447235778812315,2.4117080539196833,3.0
family_a_000006_fine_grained_edit,be7888afac4ee2cc,family_a,train,fine_grained_edit,1,57.51594156068993,38.30241744399952,0.6659442538055449,1.6379790312824434,80.18440339134344,79.02315992445642,0.9855177157533164,1.6827116037213163,0.0421652358058608,0.0343561293910659,1.6023598824486067,1.2419101880545813,0.7346056383660015,4.13555411585404,2.332158268813433,3.0
family_a_000007_coordinated_full_forgery,be7888afac4ee2cc,family_a,train,coordinated_full_forgery,1,36.350616444962775,24.987644200358822,0.6874061507080697,1.6065007159435924,79.87644544253848,79.54092107497634,0.9957993332865964,1.685533046900489,0.0452939942002442,0.0385375374990834,1.6273879868990606,2.0826599934005907,1.2970355002285634,4.385360140317413,2.1908292236634175,3.0
family_a_000008_visual_splice,be7888afac4ee2cc,family_a,train,visual_splice,1,40.24350735921851,26.275893696833055,0.6529223939918383,1.5904617764090516,78.7625200981284,77.34156164440599,0.9819588267168148,1.682025933391644,0.0448317403083028,0.0383109194624284,1.6265517367219684,1.7195631062820302,1.0525445466161305,4.196556840609354,2.140708100383956,3.0
family_a_000009_visual_splice,be7888afac4ee2cc,family_a,train,visual_splice,1,60.30232769783317,40.4879033799516,0.6714151544643425,1.6437158857270922,80.29872983648468,79.38557260718747,0.9886278759647196,1.6835301950657144,0.042098157051282,0.0343716967628713,1.6035853665430406,1.1881112436860368,0.7174337682703327,4.186887065903112,2.3878508842218418,3.0
family_a_000010_visual_splice,be7888afac4ee2cc,family_a,train,visual_splice,1,56.403641829532134,34.43894222649799,0.6105800087303259,1.6438706851713163,89.56773565862788,74.90048567452935,0.8362439528175658,1.6736658950615777,0.0432823279151404,0.0360596544332826,1.613979642237933,4.428046514621324,0.6919035059673099,3.533291892993585,2.2809212911639123,3.0
family_a_000033_genuine,4efd1ea374ac7007,family_a,train,genuine,0,41.84766817691979,26.623799569012657,0.6362073292681851,1.5641139778028876,80.60903836131274,78.44940104989297,0.97320837604062,1.6794094688216183,0.0452715869200244,0.0387868257138014,1.6313169918426869,2.170732013084661,1.3306255320513318,4.079736385687076,1.9094089956281948,3.0
family_a_000034_text_qr_mismatch,4efd1ea374ac7007,family_a,train,text_qr_mismatch,1,46.562845018170776,24.13558118062552,0.5183441000601618,1.616727351620033,91.27922013239257,73.89740207243887,0.8095752118555024,1.6686274856354466,0.0454817899114774,0.0388005947790181,1.6289007492381118,4.783133517628167,0.8037458635263698,3.3702695366708184,1.9365604344467509,3.0
family_a_000035_qr_only_mismatch,4efd1ea374ac7007,family_a,train,qr_only_mismatch,1,62.99380900886689,40.897220485552985,0.6492259261150108,1.6293282882374158,85.7241286274228,77.4002128583504,0.9028986945526496,1.675889685986797,0.0430284264346764,0.0356564440713692,1.6112513262146757,3.2929836639929055,0.6569957458541966,3.6412222482375327,2.238204160969939,3.0
family_a_000036_checksum_invalid,4efd1ea374ac7007,family_a,train,checksum_invalid,1,63.1780555357145,42.29077809499425,0.6693902026976011,1.6346675935129276,82.1005645826559,80.79837208112856,0.9841389355903188,1.6817400827684617,0.0434684161324786,0.0364341570541396,1.6170596957632482,1.4049123150182865,0.7819433221948565,4.0272305365002685,2.2990225346258306,3.0
family_a_000037_format_invalid,4efd1ea374ac7007,family_a,train,format_invalid,1,60.92439090035201,40.88648862255583,0.6711020218225829,1.639514219444172,81.52277119712059,80.5559860134884,0.9881407973398932,1.6830459224696173,0.0425095772283272,0.0349231017093097,1.6068225562858232,1.1870485775451136,0.7148306993740545,4.108439544669806,2.345910698229434,3.0
family_a_000038_field_missing,4efd1ea374ac7007,family_a,train,field_missing,1,64.85766092195682,39.37362323437234,0.6070773537605225,1.637670576558367,93.44043699467476,76.84967548175905,0.82244550356377,1.6729761084656063,0.0432701369810744,0.0368627176970783,1.6251665514776557,4.456434160672735,0.6537985173010918,3.487384947043396,2.245299498779516,3.0
family_a_000039_fine_grained_edit,4efd1ea374ac7007,family_a,train,fine_grained_edit,1,46.227369403704074,24.90263969991828,0.5386989273703648,1.6106149146338722,91.14240844425454,73.95888102567834,0.8114649829147755,1.6684733463608896,0.0453447516025641,0.0388741220650054,1.6313859471006922,4.7546236074508235,0.7905709746495072,3.401765414874812,1.9636102691827664,3.0
family_a_000040_coordinated_full_forgery,4efd1ea374ac7007,family_a,train,coordinated_full_forgery,1,54.221681874227066,31.69878409793552,0.5846144412362526,1.6140126402299677,83.60192855247904,74.75114654869198,0.8941317371698122,1.6683341088614796,0.0452247977716727,0.0342198830390854,1.5842755654692169,2.1407368509331755,1.2287298755447629,3.205010486048631,1.9635784918093848,3.0
family_a_000041_visual_splice,4efd1ea374ac7007,family_a,train,visual_splice,1,42.81347134846363,27.35306672248927,0.6388891036414359,1.6195058810940874,80.18919531081502,78.5545687782578,0.9796152546191056,1.6812683609984918,0.0453375209859584,0.0384811322503296,1.6263223057049307,1.7018874176456953,1.0469545769658362,4.144546504570188,2.0939922624452016,3.0
family_a_000042_visual_splice,4efd1ea374ac7007,family_a,train,visual_splice,1,63.72348299124984,42.53967306715369,0.6675665609384439,1.6356325587698282,82.0073141003349,80.70867767751312,0.9841642629232372,1.6817423212395084,0.0425309256715506,0.0349179242295459,1.6064495266185403,0.8656043501140127,0.5994886968665809,4.0288846525038995,2.320148985467419,3.0
family_a_000043_visual_splice,4efd1ea374ac7007,family_a,train,visual_splice,1,49.62549273514605,30.762525057729135,0.61989346932988,1.633948442077452,87.29921622585539,76.06111774157623,0.8712690940100134,1.676773964673539,0.0441961519383394,0.036851632488722,1.6153361478213872,4.33073064013959,0.8382572705540499,3.637688376985152,2.224326141155046,3.0
